person_id,when_think_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:177520929,1987,0.26,2,-3.521394312133866
US:4191686,I became a Democrat after Donald Trump served his first term.,0.38,12,-2.1925122422030703
US:182233645,At age of 18,0.49,5,-1.4105435466113234
US:197890433,30 years ago,0.49,3,-1.4128783088334185
US:26736042,1979,0.23,2,-4.082708548274018
US:155870419,My first voting time was to vote for Ronald Reagan,0.27,10,-3.293026346660254
US:4364745,Probably 20 years ago.,0.39,6,-2.1061614254856593
US:23562026,Neither part really represents my interest. More alike than different,0.25,11,-6.542148075266648
US:142438759,After Obama took office and I realized how corrupt the democrats are and we need a change,0.32,18,-2.716203749626303
US:4201733,When I was able to vote,0.43,6,-1.8069875851488937
US:3523748,When my parents told me they were. I was 18.,0.58,13,-0.9204594791574479
US:2867682,Can’t remember but probably high school,0.24,7,-3.8190780311971566
US:1336536,Long time ago,0.56,3,-1.0184553608494187
US:45056868,The first time I voted at the age of 18,0.75,11,0.0019653301184676788
US:1189946,1990,0.27,2,-3.29802868521681
US:2297173,when I was 18.,0.5,6,-1.3831374269869203
US:3183554,Leaned Republican after JFK asassination,0.87,8,-10.92001390506955
US:519167,All of my life.,0.27,5,-3.417365653727688
US:186860737,College when Al Gore ran against Bush,0.24,7,-6.088013707944585
US:124249271,When I first started voting and my audiology align with some of the Democratic candidates.,0.22,17,-4.753900980645571
US:1885144,When I was around 10,0.84,6,0.5249472785913647
US:3003626,1980,0.3,2,-2.97577091420927
US:1853845,since I wasa boy in 1940s.,0.28,11,-3.1643131774814983
US:32637599,After Obama divided our country while in office. He took the race card too far and divided us all.,0.33,21,-2.5891100988774505
US:204417585,I don't think I made a decision. My family are Republican.,0.39,14,-2.1272204442408866
US:193611061,"I suppose that I first thought of myself as a Democrat as a teenager,around 16.I listened to my Mother and family as well,they were all Democrats.I figured that the Democrats were the way to go.",0.33,43,-2.598587742636522
US:4275792,I would say putting God and this nation first above all else.,0.29,13,-3.089106181388844
US:1936408,when I saw sheep fall behinds the lies and vile attitude of Donald Trump we will lose our demonocracy if he is allowed to go unchecked,0.28,28,-6.987522278839369
US:40590505,WHEN I WAS 16.,0.45,7,-1.7004775356114528
US:197208331,5yrs ago,0.55,4,-1.1065038693092422
US:176570529,2015,0.34,2,-2.4943954741318355
US:194176021,1996,0.25,2,-3.6923471872723597
US:2654290,in 1994,0.47,4,-1.5579094186979168
US:4415166,After my husband and his parents explained the system in detail to me 36 years ago when I got married.,0.22,22,-5.54817069341918
US:46328622,During Trump's first term,0.34,5,-2.5279024978053224
US:175082343,1973,0.23,2,-4.111054095524163
US:717722,High school,0.56,2,-1.0506428243407415
US:1663104,The democrats have been very deceiving and dishonest.,0.56,11,-1.0545907635200018
US:193012325,Neither party is doing anything for people like me,0.42,9,-1.8925737873493547
US:4262035,When I voted for Reagan,0.24,5,-4.069340463303043
US:169495565,My whole life,0.57,3,-0.9646398752253083
US:40736513,When I was 18 and registered to vote.,0.37,10,-2.228044765634267
US:169360,"During the Vietnam war, especially in 1970 when Nixon invaded Cambodia.",0.25,15,-3.6858681173799592
US:27289551,"When I was a kid, I saw how reckless Democrats were with money and social issues for their own gain.",0.36,22,-2.3707872319856254
US:349992,during the Bush administration,0.27,4,-3.289222543012771
US:1058451,2020,0.51,2,-1.3343852379519276
US:1547702,When I became old enough to vote and moved out of North Dakota.,0.22,14,-4.759164661525711
US:185325667,Two years ago,0.73,3,-0.10743072834773425
US:125486481,When I realized being independent wasn’t going to get me anywhere,0.26,12,-3.4406238055484297
US:670658,"I used to claim to be a republican many years ago, but they drifted away from conservative values",0.37,19,-2.234274987814608
US:25724409,do not remember my age but was young,0.29,8,-3.1049553974524216
US:100457741,The first time I voted.,0.48,6,-1.4792608578303101
US:146221751,Around 40,0.44,3,-1.7102337106928833
US:33940755,I make my voting decisions based on the candidates not the party. I don't believe either party can be trusted. I have always voted for the candidate not the party.,0.84,34,0.5204301022769948
US:40323596,When I realized the Democratic policies were in my best interest.,0.26,12,-3.4353051320245798
US:67044,Having conservative views.,0.23,4,-5.928304727528379
US:27187911,A few years back,0.81,4,0.3384635006837472
US:28536487,During the Obama administration.,0.25,5,-3.698826242252702
US:177598529,2003,0.36,2,-2.343757495877132
US:170096505,"When I realized the Republican party's only interest in freedom was for rich, white, Christian men only, and everyone else was expendable to them.",0.31,30,-2.818507358368727
US:4334999,When I start voting for the first time and the Democrats views were mostly like mine.,0.25,17,-3.690896382469946
US:155287751,After Donald Trump,0.33,3,-2.60364693107444
US:2292430,no comment,0.22,2,-4.992776093219854
US:24846815,As a teenager during the Vietnam War,0.49,7,-1.4110182519487062
US:185850865,50 years ago when I lived by Chicago,0.22,8,-4.585248000313775
US:167521275,In the early ‘70’s. I was sick of all of the welfare programs with no requirement to work or make an effort to find work. I took responsibility for for myself.,0.28,36,-3.2334492554636993
