person_id,when_decided_pid,prob_machine_generated,n_tokens,glimpse_criterion
US:193606709,1972,0.24,2,-3.9290269118074503
US:1877612,"For as long as I was aware that there were two parties, I was a Democrat",0.63,17,-0.6769411535617706
US:3256742,I become a Republican in 1966,0.35,8,-2.380698291865692
US:173993087,When I was a youngster! I’ve never changed my mind. Republicans now are the worst=headless horsemen!,0.24,23,-6.26241749634394
US:172627603,When Nixon was president.,0.23,5,-4.1031650528143055
US:236705,"Since the age of twenty, I have been a conservative, and in a perfect world everyone should have an equal opportunity to succeed. I see this as a worthwhile, if impossible, goal. Republicans have usually been more conservative than democrats.",0.58,48,-0.9037354415829122
US:1336585,I became a Republican when I was 18 years-old. My parents were democrats and I soon convinced them to become Republicans.,0.6,26,-0.8406785031119275
US:148320521,in my teens,0.23,3,-4.232303427292645
US:146297641,as soon AS i WAS 18,0.22,7,-4.651410657573174
US:3267760,high school,0.24,2,-4.061424006995001
US:41582939,When I started really getting into understanding politics and knowing that Democrat have a heart,0.23,15,-5.710941702069118
US:1130966,The first time I voted.,0.48,6,-1.4792608578303101
US:3844994,I have always been a republican,0.63,6,-0.6769685108822956
US:631179,1973,0.23,2,-4.111054095524163
US:2472694,I do not remember,0.74,4,-0.05539336011613113
US:146457207,When the Republicans decided to be facists,0.24,8,-3.9315980680400178
US:22705183,this year,0.28,2,-3.256135881702679
US:41996246,I dont remember,0.3,3,-2.963141899327631
US:40465766,"A long time ago. The Republicans have always been on the same page as I. I do not believe in Abortion. I believe GOD created 2 sees, Male and Female. Being a part of the LGBTQ is wrong. A man or a woman should not have sex with someone of the same sex.",0.46,62,-1.6295853026651583
US:213911,When I was a teenager,0.84,5,0.55339031161624
US:4394557,I've been a Republican my whole life.,0.74,9,-0.08609061069598321
US:103238395,Carter presidency,0.23,3,-5.824406614966284
US:41861504,When I first started paying attention to politics in the 1990s,0.69,14,-0.357138344800941
US:102935851,Being a Democrat means so many things and when you find justice for all you just open the door and the world makes since for everyone,0.22,26,-5.131651169939911
US:153841617,When Bush II was president.,0.23,6,-4.089643179119453
US:187677027,Many years ago.,0.28,4,-3.2228477709627357
US:197513863,2008,0.38,2,-2.135997334621634
US:1480050,When Donald Trump entered politics.,0.22,6,-4.621320745532015
US:496122,1960,0.28,2,-3.17807639983699
US:410508,1990,0.27,2,-3.29802868521681
US:26259095,When I moved to CA and had to declare a party affiliation.,0.3,13,-2.9139506125488137
US:193265373,When Trump was elected the first time.,0.41,8,-1.966967947922667
US:181299943,The question wording is confusing,0.3,5,-2.9078010404997507
US:44215887,When Trump first ran for president.,0.29,7,-3.117903601452562
US:17467,because my Dad did.,0.22,5,-5.112912646750852
US:4313123,in college,0.23,2,-5.845042921080527
US:107939203,When the Democrats started being crooks,0.22,7,-5.0847594302182895
US:187887303,30 years ago,0.49,3,-1.4128783088334185
US:1208035,2016,0.36,2,-2.358311613479094
US:163914121,2000,0.48,2,-1.514072093272649
US:201736907,"Cause there ate 2 main choices really,and I am Not a liberal socialist democrat",0.36,16,-7.818500867199224
US:184641745,When Hillary Clinton ran against Trump,0.31,6,-2.817840225987562
US:1478245,After seeing what Eisenhower did as president,0.23,7,-4.451220287610229
US:173586399,When the Republicans decided Donald Trump was qualified to run for public office.,0.22,14,-5.517514806065489
US:146373717,1976,0.23,2,-4.140705501712556
US:43077358,When I was in my 60s.,0.49,9,-1.4448170235287674
US:26462750,when they all starting to make money and forget about the working class,0.33,13,-2.6171523335086535
US:28179908,"I grew up with Republican family and church background, which is mostly Republicans",0.24,14,-3.9898008668148255
US:45376208,1977,0.23,2,-4.091718460154663
US:133922905,"During the Clinton administration, watching the GOP drag out impeachment over a private matter.",0.26,16,-3.4882174885173787
US:144804129,At about age 8,0.31,5,-2.818311414364813
US:185692789,In 2020,0.83,4,0.48828948031855623
US:181011475,My grandfather was influential in my determining party. Our state and county had so much cronyism and bad decisions in the Democratic Party.,0.23,27,-5.931500039055412
US:200155033,About five years ago.,0.23,5,-4.192475223686143
US:29701159,Not sure,0.38,2,-2.1874984942408053
US:30178832,unk,0.53,1,-8.936364157802824
US:2147126,When I went in the US Navy.,0.24,8,-3.8171584696393848
US:147754821,1960,0.28,2,-3.17807639983699
US:3457079,1990,0.27,2,-3.29802868521681
US:146731711,In the 1960's,0.75,6,-0.005937939845718074
US:25513147,"When I learned about 2A, Abortion, Free Speech and economics.",0.26,16,-3.435823849799329
US:2086149,Two years ago.,0.38,4,-2.1469082248140823
US:27271192,Not sure,0.38,2,-2.1874984942408053
US:196440951,when I was 14,0.54,5,-1.139980021258787
US:174827353,I switched parties in 1980,0.27,7,-3.3352191980879504
US:36099928,"When i was a kid watching the differences between Reagan, Carter, Bush and Clinton",0.27,16,-3.34968062738852
US:104077625,When barrack Obama was elected to his 1st term,0.31,12,-2.82321265518178
US:39272753,In my 20s,0.73,5,-0.11951753306568487
US:187954419,After Nixon,0.23,2,-5.739365656067926
US:105604235,when I was old enough to vote,0.36,7,-2.3584032555453867
US:29146372,Age of 21,0.46,4,-1.6222627003976235
US:2451346,In the 1960’s,0.83,6,0.46699189681319664
US:189651357,Non,0.27,1,-3.322845435609136
US:40614179,Back in 1968 when I first voted for Nixon over Humphrey,0.32,14,-2.663544324079257
US:125531745,My family has always voted Democrat.,0.57,7,-0.9994158229670326
US:38913207,The failure to convict Trump on the 2nd impeachment in 2020.,0.43,16,-1.7763631691231123
US:25413921,"Originally, I was very young, like 19 or 20 when my older boyfriend told me that I should vote democrat. My family almost never voted and never talked about politics. My boyfriend was in a union at the paper mill. The union always endorsed the democratic candidates. We are no longer married and he now supports Trump. I knew so little about politics when I voted in my first presidential election and voted for Ross Perot based on ads. I have since learned to think for myself and research before every election. But I now always vote democrat as the lesser of two evils.",0.26,117,-3.5723958988151177
US:179679629,"Years ago,30 or more.because i stand for most of the same believe",0.32,16,-7.500190044104078
US:46332279,Probably around 2019-2020,0.41,8,-1.9660388669599027
US:2362919,when I first became a voter at the age of 18,0.41,12,-1.92116345462456
US:174649803,In my Mid twenties,0.22,4,-4.974924560769415
US:171107041,When democrats started abusing government power,0.22,7,-4.510589643990095
US:192025671,18 years old,0.37,3,-2.2584985159569984
US:187921233,no comment,0.22,2,-4.992776093219854
US:128004083,At 18,0.51,3,-1.3283498709634678
US:186972733,When I tried the military,0.28,5,-3.2197771774769146
US:205438393,Always,0.23,1,-4.413427954033356
US:1726063,When I was younger,0.87,4,0.7593006931094198
US:664033,Trumps first term,0.51,4,-1.338134042706279
US:553429,unsure,0.22,2,-4.692766587735869
US:194160611,30 years ago,0.49,3,-1.4128783088334185
US:204645491,About 23,0.28,3,-3.1540673048176546
US:206987757,when i took a test to tell me which way i leaned,0.35,12,-2.4446649586082763
US:3633988,teen,0.49,1,-8.708527360626073
US:193770925,When Trump ran in 2016,0.35,7,-2.458090373813755
US:157962705,Can't remember,0.31,3,-2.809432024674061
US:178381621,2021,0.53,2,-1.1760955702449993
US:126955461,I really don't remember.,0.34,6,-2.5430650166850697
US:40762975,When Richard Nixon ran for president .,0.22,7,-4.5845044499940935
US:149519411,During John kerry and the swift boat thing,0.23,9,-5.993910113009134
US:1358310,"Always knew, from birth",0.22,5,-5.314906454283454
US:187857671,I don't really like the whole system at all it still isn't fair to everyone.,0.34,18,-2.5543331729511474
US:4353219,when i could vote,0.22,4,-5.250090338507583
US:147951013,1965,0.24,2,-3.9507969624971935
US:196616003,don't know,0.36,3,-2.293573830847079
US:3808046,I used to vote for the person and not the party. In the past I have voted Democrat and Republican. But since Trumps first go at president and the Republicans response to his policies I have become a very strong Democrat. I will never vote Republican again.,0.81,52,0.32371512332620894
US:1150398,30 years ago,0.49,3,-1.4128783088334185
US:202204697,when i was 18,0.51,5,-1.3085752900969954
US:157425517,When the Dixiecrats moved to the republican party.,0.36,12,-2.3022267955176257
US:142186485,1965,0.24,2,-3.9507969624971935
US:121338981,As soon as I know the difference between the two. My parents are Democrats.,0.5,16,-1.3496273993796226
US:186342561,Candidates,0.22,1,-4.918112714718799
US:2129802,When I was in the 8th grade.,0.69,10,-0.3701229823513281
