person_id,when_think_pid
US:3003626,1980
US:1853845,since I wasa boy in 1940s.
US:32637599,After Obama divided our country while in office. He took the race card too far and divided us all.
US:204417585,I don't think I made a decision. My family are Republican.
US:193611061,"I suppose that I first thought of myself as a Democrat as a teenager,around 16.I listened to my Mother and family as well,they were all Democrats.I figured that the Democrats were the way to go."
US:4275792,I would say putting God and this nation first above all else.
US:1936408,when I saw sheep fall behinds the lies and vile attitude of Donald Trump we will lose our demonocracy if he is allowed to go unchecked
US:40590505,WHEN I WAS 16.
US:197208331,5yrs ago
US:176570529,2015
US:194176021,1996
US:2654290,in 1994
US:4415166,After my husband and his parents explained the system in detail to me 36 years ago when I got married.
US:46328622,During Trump's first term
US:175082343,1973
US:717722,High school
US:1663104,The democrats have been very deceiving and dishonest.
US:193012325,Neither party is doing anything for people like me
US:4262035,When I voted for Reagan
US:169495565,My whole life
US:40736513,When I was 18 and registered to vote.
US:169360,"During the Vietnam war, especially in 1970 when Nixon invaded Cambodia."
US:27289551,"When I was a kid, I saw how reckless Democrats were with money and social issues for their own gain."
US:349992,during the Bush administration
US:1058451,2020
US:1547702,When I became old enough to vote and moved out of North Dakota.
US:185325667,Two years ago
US:125486481,When I realized being independent wasn’t going to get me anywhere
US:670658,"I used to claim to be a republican many years ago, but they drifted away from conservative values"
US:25724409,do not remember my age but was young
US:100457741,The first time I voted.
US:146221751,Around 40
US:33940755,I make my voting decisions based on the candidates not the party. I don't believe either party can be trusted. I have always voted for the candidate not the party.
US:40323596,When I realized the Democratic policies were in my best interest.
US:67044,Having conservative views.
US:27187911,A few years back
US:28536487,During the Obama administration.
US:177598529,2003
US:170096505,"When I realized the Republican party's only interest in freedom was for rich, white, Christian men only, and everyone else was expendable to them."
US:4334999,When I start voting for the first time and the Democrats views were mostly like mine.
US:155287751,After Donald Trump
US:2292430,no comment
US:24846815,As a teenager during the Vietnam War
US:185850865,50 years ago when I lived by Chicago
US:167521275,In the early ‘70’s. I was sick of all of the welfare programs with no requirement to work or make an effort to find work. I took responsibility for for myself.
US:153420309,When I was born
US:3213703,At a very young age.
US:41063862,Always
US:1437241,A long time ago.
US:45827685,When my ex stated she was an republican
US:182884763,I agree with most everything the republicans do and think the democrats are trying to make the people dependent on the government.
US:24918722,Over the last few years when voting for the Democratic candidate
US:40618263,2016
US:4316372,1985
US:22969670,As soon as I was of voting age
US:35672523,When I was in high school.
US:27382076,During college when I was learning about government and civil rights.
US:1571973,1960
US:165827235,Probably about ten years ago when I was learning about the different parties and coming into my identity as a marginalized person.
US:172003357,As a teenager when I witnessed the strong racism and bigotry from the republicans and also their force of their religion on everyone.
US:162798869,I thought of myself as a Republican in 2004.
US:203369965,Don’t know
US:192777411,Probably around 2007 I think.
US:145782741,When I voted for JFK for President.
US:101551735,From birth I've been close to the Republican Party.
US:165922855,Always
US:117331823,When I realized the democrats don't care about me
US:4412186,Allways have thought that
US:3164254,Over 20 years ago
US:183369565,Stop wasting government money put traitors in jail
US:39417223,At a very early age 16- 17 YO
US:186274103,"When I compared policy approaches, I agreed with the democrats' way of doing things."
US:206068529,In voting day
US:4130138,"BASICALLY WHEN I WAS IN HIGH SCHOOL AND TOOK CIVICS. AND, I CONTINUED IN THAT DIRECTION AFTER GRADUATING AND STARTING TO VOTE."
US:195224515,When I was 18
US:207421231,Because I don't don't do politics.
US:193198921,"Obama was the first President I voted 🗳 for. It’s not because of his party affiliate, it’s because I thought he would make a difference. He, like those before him did nothing that benefits this country."
US:178410399,During the GW Bush administration
US:200818699,As a child growing up
US:163244629,probably the Reagan era
US:176988331,Since I started being aware of what is going on. Both sides have something right
US:2999933,During 2008 election
US:238534,When I turned old enough to vote
US:4637314,I've always been a Republican it runs in the family
US:4350425,Ever since I started to vote.
US:155847739,No idea
US:142482955,In kindergarten.
US:37558461,twenty-five years ago
US:146513061,"I used to be a democrat but when they went to left and became radicalized I changed to republican. Their moral values are right. I don’t even recognize the Democratic Party anymore, allowing open boarders and encouraging riots and turning their back on the morals of this land, allowing men in women sports and teaching children to change their gender. And now fighting to keep illegals in the country."
US:42868412,When the democrats went nuts.
US:194731061,In my 30’s.
US:189668067,Never considered myself a Republican but voted Democrat in 2012. Clinton is the worst and I could not vote for her in 2016. The Democrat party has gone downhill ever since.
US:198659091,Early 20s
US:2257436,when I first registered to vote
US:46509319,Since I was really young
US:25164130,When I first voted at age 21 as I was always part of the working class silent majority.
US:206343225,2015
US:28245199,1980
US:149749489,I'm not policitally inclined
US:205174765,5 years ago
US:290464,When I was first registering to vote
US:2409084,when Johnson was president
US:3074529,When I was in the eighth grade watching the Congressional investigation of Watergate.
US:24283092,Most of my adult life
US:3416672,Back in the late 1970s. Probably for sure when Reagan was running.
US:2865802,I agree with. most of their decisions
US:887627,Always
US:624926,I thought of myself as a Democrat when I began to vote at age 21.
US:41003250,In the 2000’s
US:176660221,I was a life long democrat til they started pushing liberal agendas such as DEI equal rights mainly gay marriage etc
US:39857116,Many many years ago.
US:1915603,When Tulsi Gabbard switched
US:154799359,"up until 2016 I considered myself an independant because I voted for a persons character,qualifications and word not by party. During Trumps first administration I found many reasons to lean more and more democratic"
US:117063461,I have been a Republican since I first voted at 30 years of age.
US:46854801,First time I voted
US:141316529,Since I started voting at 18
US:29196009,As a teenager back in.the 1980s
US:35974578,When I saw how much Republicans favored big business over the public
US:1015933,I just stay away from politics
US:190809023,Not sure....
US:197879847,I became a Republican when Obama was in office
US:138955263,"I was very young, like 15."
US:40740267,When I saw the Republican party moving towards fascism.
US:2657780,as a teenager
US:4290188,WITH IN THE LAST COUPLE OF YEARS
US:40721305,I always have
US:314215,not sure
US:173640705,I can't remember
US:29864847,1958
US:188327943,"2020, when I was first getting into politics"
US:193760887,2023
US:2474594,When i was in high school.
US:495847,In my early twenties when I started working and had to be responsible for myself and my own finances.
